Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Processed cheese,1 oz.,28.0,105.0,7,9.0,8.0,0.0,0.0,Dairy products
Roquefort type,1 oz.,28.0,105.0,6,9.0,8.0,0.0,0.0,Dairy products
Swiss,1 oz.,28.0,105.0,7,8.0,7.0,0.0,0.0,Dairy products
Eggs raw,2,100.0,150.0,12,12.0,10.0,0.0,0.0,Dairy products
Eggs Scrambled or fried,2,128.0,220.0,13,16.0,14.0,0.0,1.0,Dairy products
Yolks,2,34.0,120.0,6,10.0,8.0,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1T.,14.0,100.0,0,11.0,10.0,0.0,0.0,"Fats, Oils, Shortenings"
Butter,1/2 cup,112.0,113.0,114,115.0,116.0,117.0,118.0,"Fats, Oils, Shortenings"
Butter,1/4 lb.,112.0,113.0,114,115.0,116.0,117.0,118.0,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100.0,665.0,0,100.0,88.0,0.0,0.0,"Fats, Oils, Shortenings"
Lard,1/2 cup,110.0,992.0,0,110.0,92.0,0.0,0.0,"Fats, Oils, Shortenings"
Margarine,1/2 cup,112.0,806.0,0,91.0,76.0,0.0,0.0,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,14.0,100.0,0,11.0,9.0,0.0,0.0,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,15.0,110.0,0,12.0,5.0,0.0,0.0,"Fats, Oils, Shortenings"
Corn oil,1 T.,14.0,125.0,0,14.0,5.0,0.0,0.0,"Fats, Oils, Shortenings"
Olive oil,1T.,14.0,125.0,0,14.0,3.0,0.0,0.0,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,14.0,125.0,0,14.0,3.0,0.0,0.0,"Fats, Oils, Shortenings"
French dressing,1 T.,15.0,60.0,0,6.0,2.0,0.0,2.0,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,15.0,75.0,0,8.0,3.0,0.0,1.0,"Fats, Oils, Shortenings"
Salt pork,2 oz.,60.0,470.0,3,55.0,0.0,0.0,0.0,"Meat, Poultry"
Bacon,2 slices,16.0,95.0,4,8.0,7.0,0.0,1.0,"Meat, Poultry"
Beef,3 oz.,85.0,245.0,23,16.0,15.0,0.0,0.0,"Meat, Poultry"
Hamburger,3 oz.,85.0,245.0,21,17.0,15.0,0.0,0.0,"Meat, Poultry"
Ground lean,3 oz.,85.0,185.0,24,10.0,9.0,0.0,0.0,"Meat, Poultry"
Roast beef,3 oz.,85.0,390.0,16,36.0,35.0,0.0,0.0,"Meat, Poultry"
Steak,3 oz.,85.0,330.0,20,27.0,25.0,0.0,0.0,"Meat, Poultry"
"Steak, lean, as round",3 oz.,85.0,220.0,24,12.0,11.0,0.0,0.0,"Meat, Poultry"
Corned beef,3 oz.,85.0,185.0,22,10.0,9.0,0.0,0.0,"Meat, Poultry"
Corned beef hash canned,3 oz.,85.0,120.0,12,8.0,7.0,0.0,6.0,"Meat, Poultry"
Corned beef hash Dried,2 oz.,56.0,115.0,19,4.0,4.0,0.0,0.0,"Meat, Poultry"
Pot-pie,1 pie,227.0,480.0,18,28.0,25.0,0.0,32.0,"Meat, Poultry"
Corned beef hash Stew,1 cup,235.0,185.0,15,10.0,9.0,0.0,15.0,"Meat, Poultry"
chicken,3 oz.,85.0,185.0,23,9.0,7.0,0.0,0.0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,85.0,245.0,25,15.0,11.0,0.0,0.0,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100.0,290.0,25,20.0,16.0,0.0,0.0,"Meat, Poultry"
"Chicken livers, fried",3 med.,100.0,140.0,22,14.0,12.0,0.0,2.3,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100.0,370.0,16,28.0,0.0,0.0,0.0,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,115.0,480.0,24,35.0,33.0,0.0,0.0,"Meat, Poultry"
Leg roasted,3 oz.,86.0,314.0,20,14.0,14.0,0.0,0.0,"Meat, Poultry"
"Shoulder, braised",3 oz.,85.0,285.0,18,23.0,21.0,0.0,0.0,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,100.0,260.0,16,21.0,18.0,0.0,0.0,"Meat, Poultry"
Ham pan-broiled,3 oz.,85.0,290.0,16,22.0,19.0,0.0,0.0,"Meat, Poultry"
"Ham, as",2 oz.,57.0,170.0,13,13.0,11.0,0.0,0.0,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,57.0,165.0,8,14.0,12.0,0.0,1.0,"Meat, Poultry"
Pork roast,3 oz.,85.0,310.0,21,24.0,21.0,0.0,0.0,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100.0,475.0,18,44.0,40.0,0.0,0.0,"Meat, Poultry"
Turkey,3 1/2 oz.,100.0,265.0,27,15.0,0.0,0.0,0.0,"Meat, Poultry"
Veal,3 oz.,85.0,185.0,23,9.0,8.0,0.0,0.0,"Meat, Poultry"
Roast,3 oz.,85.0,305.0,13,14.0,13.0,0.0,0.0,"Meat, Poultry"
Clams,3 oz.,85.0,87.0,12,1.0,0.0,0.0,2.0,"Fish, Seafood"
Cod,3 1/2 oz.,100.0,170.0,28,5.0,0.0,0.0,0.0,"Fish, Seafood"
Crab meat,3 oz.,85.0,90.0,14,2.0,0.0,0.0,1.0,"Fish, Seafood"
Fish sticks fried,5,112.0,200.0,19,10.0,5.0,0.0,8.0,"Fish, Seafood"
Flounder,3 1/2 oz.,100.0,200.0,30,8.0,0.0,0.0,0.0,"Fish, Seafood"
Haddock,3 oz.,85.0,135.0,16,5.0,4.0,0.0,6.0,"Fish, Seafood"
Halibut,3 1/2 oz.,100.0,182.0,26,8.0,0.0,0.0,0.0,"Fish, Seafood"
Herring,1 small,100.0,211.0,22,13.0,0.0,0.0,0.0,"Fish, Seafood"
Lobster,aver.,100.0,92.0,18,1.0,0.0,0.0,0.0,"Fish, Seafood"
Mackerel,3 oz.,85.0,155.0,18,9.0,0.0,0.0,0.0,"Fish, Seafood"
Oysters,6-8 med.,230.0,231.0,232,233.0,234.0,235.0,236.0,"Fish, Seafood"
Oyster stew,1 cup,85.0,125.0,19,6.0,1.0,0.0,0.0,"Fish, Seafood"
Salmon,3 oz.,85.0,120.0,17,5.0,1.0,0.0,0.0,"Fish, Seafood"
Sardines,3 oz.,85.0,180.0,22,9.0,4.0,0.0,0.0,"Fish, Seafood"
Scallops,3 1/2 oz.,100.0,104.0,18,8.0,0.0,0.0,10.0,"Fish, Seafood"
Shad,3 oz.,85.0,170.0,20,10.0,0.0,0.0,0.0,"Fish, Seafood"
Shrimp,3 oz.,85.0,110.0,23,1.0,0.0,0.0,0.0,"Fish, Seafood"
Swordfish,1 steak,100.0,180.0,27,6.0,0.0,0.0,0.0,"Fish, Seafood"
Tuna,3 oz.,85.0,170.0,25,7.0,3.0,0.0,0.0,"Fish, Seafood"
Artichoke,1 large,100.0,0.0,2,0.0,0.0,2.0,10.0,Vegetables A-E
Asparagus,6 spears,96.0,18.0,1,0.0,0.0,0.5,3.0,Vegetables A-E
Beans,1 cup,125.0,25.0,1,0.0,0.0,0.8,6.0,Vegetables A-E
Lima,1 cup,160.0,140.0,8,0.0,0.0,3.0,24.0,Vegetables A-E
"Lima, dry, cooked",1 cup,192.0,260.0,16,0.0,0.0,2.0,48.0,Vegetables A-E
"Navy, baked with pork",3/4 cup,200.0,250.0,11,6.0,6.0,2.0,37.0,Vegetables A-E
Red kidney,1 cup,260.0,230.0,15,1.0,0.0,2.5,42.0,Vegetables A-E
Bean sprouts,1 cup,50.0,17.0,1,0.0,0.0,0.3,3.0,Vegetables A-E
Beet greens,1 cup,100.0,27.0,2,0.0,0.0,1.4,6.0,Vegetables A-E
Beetroots,1 cup,165.0,1.0,12,0.0,0.0,0.0,0.8,Vegetables A-E
Broccoli,1 cup,150.0,45.0,5,0.0,0.0,1.9,8.0,Vegetables A-E
Brussels sprouts,1 cup,130.0,60.0,6,0.0,0.0,1.7,12.0,Vegetables A-E
Sauerkraut,1 cup,150.0,32.0,1,0.0,0.0,1.2,7.0,Vegetables A-E
Steamed cabbage,1 cup,170.0,40.0,2,0.0,0.0,1.3,9.0,Vegetables A-E
Carrots,1 cup,150.0,45.0,1,0.0,0.0,0.9,10.0,Vegetables A-E
"Raw, grated",1 cup,110.0,45.0,1,0.0,0.0,1.2,10.0,Vegetables A-E
"Strips, from raw",1 mad.,50.0,20.0,0,0.0,0.0,0.5,5.0,Vegetables A-E
Cauliflower,1 cup,120.0,30.0,3,0.0,0.0,1.0,6.0,Vegetables A-E
Celery,1 cup,100.0,20.0,1,0.0,0.0,1.0,4.0,Vegetables A-E
Stalk raw,1 large,40.0,5.0,1,0.0,0.0,0.3,1.0,Vegetables A-E
Chard steamed,1 cup,150.0,30.0,2,0.0,0.0,1.4,7.0,Vegetables A-E
Collards,1 cup,150.0,51.0,5,0.0,0.0,2.0,8.0,Vegetables A-E
Corn,1 ear,100.0,92.0,3,1.0,0.0,0.8,21.0,Vegetables A-E
cooked or canned,1 cup,200.0,170.0,5,0.0,0.0,1.6,41.0,Vegetables A-E
Cucumbers,8,50.0,6.0,0,0.0,0.0,0.2,1.0,Vegetables A-E
Dandelion greens,1 cup,180.0,80.0,5,1.0,0.0,3.2,16.0,Vegetables A-E
Eggplant,1 cup,180.0,30.0,2,0.0,0.0,1.0,9.0,Vegetables A-E
Endive,2 oz.,57.0,10.0,1,0.0,0.0,0.6,2.0,Vegetables A-E
Kale,1 cup,110.0,45.0,4,1.0,0.0,0.9,8.0,Vegetables F-P
Kohlrabi,1 cup,140.0,40.0,2,0.0,0.0,1.5,9.0,Vegetables F-P
"Lambs quarters, steamed",1 cup,150.0,48.0,5,0.0,0.0,3.2,7.0,Vegetables F-P
Lentils,1 cup,200.0,212.0,15,0.0,0.0,2.4,38.0,Vegetables F-P
Lettuce,1/4 head,100.0,14.0,1,0.0,0.0,0.5,2.0,Vegetables F-P
Iceberg,1/4 head,100.0,13.0,0,0.0,0.0,0.5,3.0,Vegetables F-P
Mushrooms canned,4,120.0,12.0,2,0.0,0.0,0.0,4.0,Vegetables F-P
Mustard greens,1,140.0,30.0,3,0.0,0.0,1.2,6.0,Vegetables F-P
Okra,1 1/3 cups,100.0,32.0,1,0.0,0.0,1.0,7.0,Vegetables F-P
Onions,1,210.0,80.0,2,0.0,0.0,1.6,18.0,Vegetables F-P
"Raw, green",6 small,50.0,22.0,0,0.0,0.0,1.0,5.0,Vegetables F-P
Parsley,2 T.,50.0,2.0,0,0.0,0.0,0.0,0.0,Vegetables F-P
Parsnips,1 cup,155.0,95.0,2,1.0,0.0,3.0,22.0,Vegetables F-P
Peas,1 cup,100.0,66.0,3,0.0,0.0,0.1,13.0,Vegetables F-P
"Fresh, steamed peas",1 cup,100.0,70.0,5,0.0,0.0,2.2,12.0,Vegetables R-Z
Frozen peas,1 cup,100.0,0.0,5,0.0,0.0,1.8,12.0,Vegetables R-Z
Split cooked peas,4 cups,100.0,115.0,8,0.0,0.0,0.4,21.0,Vegetables R-Z
heated peas,1 cup,100.0,53.0,3,0.0,0.0,1.0,10.0,Vegetables R-Z
Peppers canned,1 pod,38.0,10.0,0,0.0,0.0,0.0,2.0,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100.0,25.0,1,0.0,0.0,1.4,6.0,Vegetables R-Z
Peppers with beef and crumbs,1 med.,150.0,255.0,19,9.0,8.0,1.0,24.0,Vegetables R-Z
"Potatoes, baked",1 med.,100.0,100.0,2,0.0,0.0,0.5,22.0,Vegetables R-Z
French-fried,10 pieces,60.0,155.0,-1,7.0,3.0,0.4,20.0,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,200.0,230.0,4,12.0,11.0,0.7,28.0,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100.0,268.0,4,14.0,6.0,0.4,33.0,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100.0,145.0,6,8.0,7.0,0.4,14.0,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100.0,80.0,2,0.0,0.0,0.4,19.0,Vegetables R-Z
Potato chips,10,20.0,110.0,1,7.0,4.0,0.0,10.0,Vegetables R-Z
Radishes,5 small,50.0,10.0,0,0.0,0.0,0.3,2.0,Vegetables R-Z
Rutabagas,4 cups,100.0,32.0,0,0.0,0.0,1.4,8.0,Vegetables R-Z
Soybeans,1 cup,200.0,260.0,22,11.0,0.0,3.2,20.0,Vegetables R-Z
Spinach,1 cup,100.0,26.0,3,0.0,0.0,1.0,3.0,Vegetables R-Z
Squash,1 cup,210.0,35.0,1,0.0,0.0,0.6,8.0,Vegetables R-Z
"Winter, mashed",1 cup,200.0,95.0,4,0.0,0.0,2.6,23.0,Vegetables R-Z
Sweet potatoes,1 med.,110.0,155.0,2,1.0,0.0,1.0,36.0,Vegetables R-Z
Candied,1 med.,175.0,235.0,2,6.0,5.0,1.5,80.0,Vegetables R-Z
Tomatoes,1 cup,240.0,50.0,2,0.0,0.0,1.0,9.0,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,150.0,30.0,1,0.0,0.0,0.6,6.0,Vegetables R-Z
Tomato juice,1 cup,240.0,50.0,2,0.0,0.0,0.6,10.0,Vegetables R-Z
Tomato catsup,1 T.,17.0,15.0,0,0.0,0.0,0.0,4.0,Vegetables R-Z
Turnip greens,1 cup,145.0,45.0,4,1.0,0.0,1.8,8.0,Vegetables R-Z
"Turnips, steamed",1 cup,155.0,40.0,1,0.0,0.0,1.8,9.0,Vegetables R-Z
"Watercress stems, raw",1 cup,50.0,9.0,1,0.0,0.0,0.3,1.0,Fruits A-F
Apple juice canned,1 cup,250.0,125.0,0,0.0,0.0,0.0,34.0,Fruits A-F
Apple vinegar,1/3 cup,100.0,14.0,0,0.0,0.0,0.0,3.0,Fruits A-F
"Apples, raw",1 med,130.0,70.0,0,0.0,0.0,1.0,18.0,Fruits A-F
Stewed or canned,1 cup,240.0,100.0,0,0.0,0.0,2.0,26.0,Fruits A-F
Apricots,1 cup,250.0,220.0,2,0.0,0.0,1.0,57.0,Fruits A-F
"Dried, uncooked",1/2 cup,75.0,220.0,4,0.0,0.0,1.0,50.0,Fruits A-F
Fresh,3 med.,114.0,55.0,1,0.0,0.0,0.7,14.0,Fruits A-F
"Nectar, or juice",1 cup,250.0,140.0,1,0.0,0.0,2.0,36.0,Fruits A-F
Avocado,1/2 large,108.0,185.0,2,18.0,12.0,1.8,6.0,Fruits A-F
Banana,1 med.,150.0,85.0,1,0.0,0.0,0.9,23.0,Fruits A-F
Blackberries,1 cup,144.0,85.0,2,1.0,0.0,6.6,19.0,Fruits A-F
Blueberries,1 cup,250.0,245.0,1,0.0,0.0,2.0,65.0,Fruits A-F
Cantaloupe,1/2 med.,380.0,40.0,1,0.0,0.0,2.2,9.0,Fruits A-F
Cherries,1 cup,257.0,100.0,2,1.0,0.0,2.0,26.0,Fruits A-F
"Fresh, raw",1 cup,114.0,65.0,1,0.0,0.0,0.8,15.0,Fruits A-F
Cranberry sauce sweetened,1 cup,277.0,530.0,0,0.0,0.0,1.2,142.0,Fruits A-F
Dates,1 cup,178.0,505.0,4,0.0,0.0,3.6,134.0,Fruits A-F
Figs,2,42.0,120.0,2,0.0,0.0,1.9,30.0,Fruits A-F
"Fresh, raw figs",3 med.,114.0,90.0,2,0.0,0.0,1.0,22.0,Fruits A-F
figs Canned with syrup,3,115.0,130.0,1,0.0,0.0,1.0,32.0,Fruits A-F
"Fruit cocktail, canned",1 cup,256.0,195.0,1,0.0,0.0,0.5,50.0,Fruits A-F
Grapefruit sections,1 cup,250.0,170.0,1,0.0,0.0,0.5,44.0,Fruits G-P
"Grapefruit, fresh, 5"" diameter",1/2,285.0,50.0,1,0.0,0.0,1.0,14.0,Fruits G-P
Grapefruit juice,1 cup,250.0,100.0,1,0.0,0.0,1.0,24.0,Fruits G-P
Grapes,1 cup,153.0,70.0,1,0.0,0.0,0.8,16.0,Fruits G-P
"European, as Muscat, Tokay",1 cup,160.0,100.0,1,0.0,0.0,0.7,26.0,Fruits G-P
Grape juice,1 cup,250.0,160.0,1,0.0,0.0,0.0,42.0,Fruits G-P
Lemon juice,1/2 cup,125.0,30.0,0,0.0,0.0,0.0,10.0,Fruits G-P
Lemonade concentratefrozen,6-oz. can,220.0,430.0,0,0.0,0.0,0.0,112.0,Fruits G-P
Limeade concentrate frozen,6-oz. can,218.0,405.0,0,0.0,0.0,0.0,108.0,Fruits G-P
Olives large,10,65.0,72.0,1,10.0,9.0,0.8,3.0,Fruits G-P
OlivesRipe,10,65.0,105.0,1,13.0,12.0,1.0,1.0,Fruits G-P
"Oranges 3"" diameter",1 med.,180.0,60.0,2,0.0,0.0,1.0,16.0,Fruits G-P
Orange juice,8 oz. or,250.0,112.0,2,0.0,0.0,0.2,25.0,Fruits G-P
Frozen,6-oz. can,210.0,330.0,2,0.0,0.0,0.4,78.0,Fruits G-P
Papaya,1/2 med.,200.0,75.0,1,0.0,0.0,1.8,18.0,Fruits G-P
Peaches,1 cup,257.0,200.0,1,0.0,0.0,1.0,52.0,Fruits G-P
"Fresh, raw",1 med.,114.0,35.0,1,0.0,0.0,0.6,10.0,Fruits G-P
Pears,1 cup,255.0,195.0,1,0.0,0.0,2.0,50.0,Fruits G-P
"Raw, 3 by 2V",1 med.,182.0,100.0,1,1.0,0.0,2.0,25.0,Fruits G-P
Persimmons,1 med.,125.0,75.0,1,0.0,0.0,2.0,20.0,Fruits G-P
Pineapple,1 large slice,122.0,95.0,0,0.0,0.0,0.4,26.0,Fruits G-P
Pineapple Crushed,1 cup,260.0,205.0,1,0.0,0.0,0.7,55.0,Fruits G-P
"Raw, diced",1 cup,140.0,75.0,1,0.0,0.0,0.6,19.0,Fruits G-P
Pineapple juice,1 cup,250.0,120.0,1,0.0,0.0,0.2,32.0,Fruits G-P
Plums,1 cup,256.0,185.0,1,0.0,0.0,0.7,50.0,Fruits G-P
"Raw, 2"" diameter",1,60.0,30.0,0,0.0,0.0,0.2,7.0,Fruits G-P
Prunes,1 cup,270.0,300.0,3,1.0,0.0,0.8,81.0,Fruits G-P
Prune juice,1 cup,240.0,170.0,1,0.0,0.0,0.7,45.0,Fruits G-P
Raisins,1/2 cup,88.0,230.0,2,0.0,0.0,0.7,82.0,Fruits R-Z
Raspberries,1/2 cup,100.0,100.0,0,0.0,0.0,2.0,25.0,Fruits R-Z
"Raw, red",3/4 cup,100.0,57.0,0,0.0,0.0,5.0,14.0,Fruits R-Z
Rhubarb sweetened,1 cup,270.0,385.0,1,0.0,0.0,1.9,98.0,Fruits R-Z
Strawberries,1 cup,227.0,242.0,1,0.0,0.0,1.3,60.0,Fruits R-Z
Raw,1 cup,149.0,54.0,0,0.0,0.0,1.9,12.0,Fruits R-Z
Tangerines,I med.,114.0,40.0,1,0.0,0.0,1.0,10.0,Fruits R-Z
Watermelon,1 wedge,925.0,120.0,2,1.0,0.0,3.6,29.0,Fruits R-Z
Biscuits,1,38.0,130.0,3,4.0,3.0,0.0,18.0,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25.0,117.0,3,0.0,0.0,0.1,32.0,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,23.0,60.0,2,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains"
Rye,1 slice,23.0,55.0,2,1.0,1.0,0.1,12.0,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,454.0,0.0,39,15.0,12.0,9.0,229.0,"Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,454.0,0.0,48,14.0,10.0,67.5,216.0,"Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,23.0,55.0,2,1.0,0.0,0.31,11.0,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,50.0,100.0,3,4.0,2.0,0.3,15.0,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25.0,110.0,2,0.0,0.0,0.1,25.0,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,242.0,120.0,8,0.0,0.0,0.2,27.0,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118.0,360.0,9,4.0,2.0,1.6,74.0,"Breads, cereals, fastfood,grains"
Crackers,2 med.,14.0,55.0,1,1.0,0.0,0.0,10.0,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",2,11.0,45.0,1,1.0,0.0,0.0,8.0,"Breads, cereals, fastfood,grains"
Farina,1 cup,238.0,105.0,3,0.0,0.0,8.0,22.0,"Breads, cereals, fastfood,grains"
Flour,1 cup,110.0,460.0,39,22.0,0.0,2.9,33.0,"Breads, cereals, fastfood,grains"
Wheat (all purpose),1 cup,110.0,400.0,12,1.0,0.0,0.3,84.0,"Breads, cereals, fastfood,grains"
Wheat (whole),1 cup,120.0,390.0,13,2.0,0.0,2.8,79.0,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140.0,155.0,5,1.0,0.0,0.1,32.0,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,220.0,475.0,18,25.0,24.0,0.0,44.0,"Breads, cereals, fastfood,grains"
Muffins,1,48.0,135.0,4,5.0,4.0,0.0,19.0,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160.0,200.0,7,2.0,2.0,0.1,37.0,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236.0,150.0,5,3.0,2.0,4.6,26.0,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",4,108.0,250.0,7,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",4,108.0,250.0,7,9.0,0.0,0.1,28.0,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",1 section,75.0,180.0,8,6.0,5.0,0.0,23.0,"Breads, cereals, fastfood,grains"
Popcorn salted,2 cups,28.0,152.0,3,7.0,2.0,0.5,20.0,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14.0,55.0,0,0.0,0.0,0.0,12.0,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,1 cup,28.0,105.0,1,0.0,0.0,0.6,26.0,"Breads, cereals, fastfood,grains"
Rice,1 cup,208.0,748.0,15,3.0,0.0,1.2,154.0,"Breads, cereals, fastfood,grains"
Converted,1 cup,187.0,677.0,14,0.0,0.0,0.4,142.0,"Breads, cereals, fastfood,grains"
White,1 cup,191.0,692.0,14,0.0,0.0,0.3,150.0,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30.0,115.0,2,0.0,0.0,0.1,26.0,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,50.0,132.0,6,6.0,0.0,1.2,28.0,"Breads, cereals, fastfood,grains"
Rolls,1 large,50.0,411.0,3,12.0,11.0,0.1,23.0,"Breads, cereals, fastfood,grains"
of refined flour,1,38.0,115.0,3,2.0,2.0,0.0,20.0,"Breads, cereals, fastfood,grains"
whole-wheat,1,40.0,102.0,4,1.0,0.0,0.1,20.0,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250.0,285.0,13,10.0,6.0,0.5,35.0,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,1 cup,250.0,210.0,6,5.0,3.0,0.5,36.0,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250.0,217.0,4,4.0,0.0,1.2,40.0,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,28.0,100.0,3,1.0,0.0,0.7,23.0,"Breads, cereals, fastfood,grains"
Waffles,1,75.0,240.0,8,9.0,1.0,0.1,30.0,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,68.0,245.0,17,7.0,3.0,2.5,34.0,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,1 cup,65.0,260.0,20,7.0,3.0,2.5,36.0,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,3/4 cup,30.0,103.0,4,1.0,0.0,0.7,25.0,"Breads, cereals, fastfood,grains"
"Wheat, cooked",3/4 cup,200.0,275.0,12,1.0,0.0,4.4,35.0,"Breads, cereals, fastfood,grains"
Bean soups,1 cup,250.0,190.0,8,5.0,4.0,0.6,30.0,Soups
Beef soup,1 cup,250.0,100.0,6,4.0,4.0,0.5,11.0,Soups
Bouillon,1 cup,240.0,24.0,5,0.0,0.0,0.0,0.0,Soups
chicken soup,1 cup,250.0,75.0,4,2.0,2.0,0.0,10.0,Soups
Clam chowder,1 cup,255.0,85.0,5,2.0,8.0,0.5,12.0,Soups
Cream soups,1 cup,255.0,200.0,7,12.0,11.0,1.2,18.0,Soups
Noodle,1 cup,250.0,115.0,6,4.0,3.0,0.2,13.0,Soups
Split-pea soup,1 cup,250.0,147.0,8,3.0,3.0,0.5,25.0,Soups
Tomato soup,1 cup,245.0,175.0,6,7.0,6.0,0.5,22.0,Soups
Vegetable,1 cup,250.0,80.0,4,2.0,2.0,0.0,14.0,Soups
Apple betty,1 serving,100.0,150.0,1,4.0,0.0,0.5,29.0,"Desserts, sweets"
Bread pudding,3/4 cup,200.0,374.0,11,12.0,11.0,0.2,56.0,"Desserts, sweets"
Cakes,1 slice,40.0,110.0,3,0.0,0.0,0.0,23.0,"Desserts, sweets"
Chocolate fudge,1 slice,120.0,420.0,5,14.0,12.0,0.3,70.0,"Desserts, sweets"
Cupcake,1,50.0,160.0,3,3.0,2.0,0.0,31.0,"Desserts, sweets"
Fruit cake,1 slice,30.0,105.0,2,4.0,3.0,0.2,17.0,"Desserts, sweets"
Gingerbread,1 slice,55.0,180.0,2,7.0,6.0,0.0,28.0,"Desserts, sweets"
